timestamp,open,high,low,close,volume,VWAP,Notional_Value_USD
2019-11-05 00:00:00,9415.61,9419.66,9370.92,9394.09,34.93,9395.29,328.14
2019-11-04 23:00:00,9381.27,9434.16,9380.48,9415.61,40.36,9401.74,380.01
2019-11-04 21:00:00,9471.87,9495.05,9441.62,9447.0,75.14,9435.0,709.85
2019-11-04 20:00:00,9275.25,9600.0,9275.25,9471.87,451.42,9436.97,4275.79
2019-11-04 19:00:00,9271.94,9294.88,9263.03,9275.25,48.99,9425.08,454.39
2019-11-04 18:00:00,9327.99,9329.09,9271.93,9271.94,27.92,9419.95,258.87
2019-11-04 17:00:00,9307.26,9334.98,9307.26,9327.99,27.58,9416.09,257.27
2019-11-04 16:00:00,9307.65,9342.41,9292.3,9307.26,60.67,9408.28,564.67
2019-11-04 15:00:00,9319.18,9319.18,9285.06,9307.65,20.04,9405.58,186.53
2019-11-04 14:00:00,9252.35,9344.0,9252.35,9319.18,38.73,9400.54,360.93
2019-11-04 13:00:00,9243.86,9275.02,9243.86,9252.35,11.89,9398.54,110.01
2019-11-04 12:00:00,9267.15,9294.34,9241.25,9243.86,21.54,9395.26,199.11
2019-11-04 11:00:00,9208.8,9282.76,9208.8,9267.15,26.49,9390.79,245.49
2019-11-04 10:00:00,9169.99,9220.87,9169.99,9208.8,11.45,9388.3,105.44
2019-11-04 09:00:00,9160.26,9185.0,9160.01,9169.99,5.42,9387.0,49.7
2019-11-04 08:00:00,9186.92,9197.17,9160.0,9160.26,1.02,9386.77,9.34
2019-11-04 07:00:00,9162.49,9200.0,9162.49,9186.92,13.09,9383.83,120.26
2019-11-04 06:00:00,9143.77,9175.0,9143.21,9162.49,16.82,9379.78,154.11
2019-11-04 05:00:00,9138.25,9164.2,9135.0,9143.77,20.58,9374.82,188.18
2019-11-04 04:00:00,9153.97,9159.03,9135.0,9138.25,5.0,9373.63,45.69
2019-11-04 03:00:00,9163.86,9182.07,9150.0,9153.97,3.0,9372.98,27.46
2019-11-04 02:00:00,9164.05,9190.01,9155.85,9163.86,11.87,9370.54,108.78
2019-11-04 01:00:00,9170.61,9176.82,9138.09,9164.05,6.43,9369.15,58.92
2019-11-04 00:00:00,9200.0,9216.98,9163.79,9170.61,18.99,9365.75,174.15
